,0,1
0,0,Alabama
1,1,Alaska
2,2,Arizona
3,3,Arkansas
4,4,California
5,5,Colorado
6,6,Connecticut
7,7,Delaware
8,8,Florida
9,9,Georgia
10,10,Hawaii
11,11,Idaho
12,12,Illinois
13,13,Indiana
14,14,Iowa
15,15,Kansas
16,16,Kentucky
17,17,Louisiana
18,18,Maine
19,19,Maryland
20,20,Massachusetts
21,21,Michigan
22,22,Minnesota
23,23,Mississippi
24,24,Missouri
25,25,Montana
26,26,Nebraska
27,27,Nevada
28,28,New Hampshire
29,29,New Jersey
30,30,New Mexico
31,32,North Carolina
32,33,North Dakota
33,34,Ohio
34,35,Oklahoma
35,36,Oregon
36,37,Pennsylvania
37,38,Rhode Island
38,39,South Carolina
39,40,South Dakota
40,41,Tennessee
41,42,Texas
42,43,Utah
43,44,Vermont
44,45,Virginia
45,46,Washington
46,47,West Virginia
47,48,Wisconsin
48,49,Wyoming
